1. Clifford Roof $81,600
Clinton, Oklahoma 
2. Tony Bolton 40,800
London, England 
3. Bill Ayers 20,400
San Diego, California 
4. Wilbert Liebling 12,240
Los Angeles, California 
5. Isaac Chen 10,200
Rolling Heights, California 
6. Bill Hagen 8,160
San Jose, California 
7. Mike Davis 6,120
Harker Heights, Texas 
8. Larry Sigety 4,080
Las Vegas, Nevada 
9. Dick Gladden 3,060
Anaheim, California 
10. David Litt 3,060
North Hollywood, California 
11. Pat Medaris 3,060
Banning, California 
12. Mike Picow 3,060
Las Vegas, Nevada 
13. Brent Carter 2,040
Oak Park, Illinois 
14. Margit Gurunlai 2,040
San Jose, California 
15. Tony Vermiglio 2,040
Tucson, Arizona 
16. Cliff Yamagawa 2,040
Pasadena, California 
